Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.575,0.6209,0.575,0.5136,0.5294,-0.0559,-0.0621
1,0.675,0.7582,0.675,0.6557,0.622,0.1613,0.1981
2,0.575,0.4615,0.575,0.536,0.5474,-0.018,-0.0188
3,0.55,0.6621,0.55,0.4938,0.5119,-0.0976,-0.1048
4,0.5897,0.5157,0.5897,0.5482,0.5558,0.0158,0.017
5,0.6923,0.6213,0.6923,0.6741,0.6753,0.25,0.2582
6,0.641,0.6524,0.641,0.6012,0.6057,0.087,0.0945
7,0.6923,0.5562,0.6923,0.6741,0.6753,0.25,0.2582
8,0.5385,0.5385,0.5385,0.4118,0.4667,-0.2273,-0.2712
9,0.5897,0.5592,0.5897,0.5736,0.5802,0.04,0.0403
Mean,0.6119,0.5946,0.6119,0.5682,0.577,0.0405,0.0409
Std,0.0554,0.0812,0.0554,0.081,0.065,0.1444,0.1598
