Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.4753,0.65,0.4225,0.5121,0.0,0.0
1,0.65,0.5124,0.65,0.4225,0.5121,0.0,0.0
2,0.65,0.3984,0.65,0.4225,0.5121,0.0,0.0
3,0.65,0.6923,0.65,0.4225,0.5121,0.0,0.0
4,0.641,0.3814,0.641,0.4109,0.5008,0.0,0.0
5,0.6667,0.4379,0.6667,0.4444,0.5333,0.0,0.0
6,0.6667,0.6642,0.6667,0.4444,0.5333,0.0,0.0
7,0.6667,0.4793,0.6667,0.4444,0.5333,0.0,0.0
8,0.6667,0.6479,0.6667,0.4444,0.5333,0.0,0.0
9,0.6667,0.5473,0.6667,0.4444,0.5333,0.0,0.0
Mean,0.6574,0.5236,0.6574,0.4323,0.5216,0.0,0.0
Std,0.0096,0.1058,0.0096,0.0126,0.0122,0.0,0.0
