Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.6223,0.65,0.6026,0.5516,0.0411,0.0721
1,0.7,0.6223,0.7,0.7947,0.6156,0.1781,0.3126
2,0.625,0.5082,0.625,0.4167,0.5,-0.049,-0.1175
3,0.625,0.6209,0.625,0.5383,0.5364,-0.0067,-0.0099
4,0.6667,0.5902,0.6667,0.6171,0.5735,0.0488,0.0822
5,0.6667,0.5636,0.6667,0.4444,0.5333,0.0,0.0
6,0.6923,0.6479,0.6923,0.7895,0.5893,0.1,0.2294
7,0.641,0.5976,0.641,0.5556,0.5578,0.0,0.0
8,0.7179,0.4704,0.7179,0.8018,0.6392,0.1951,0.3288
9,0.6667,0.57,0.6667,0.7807,0.5566,0.0898,0.2168
Mean,0.6651,0.5813,0.6651,0.6341,0.5653,0.0597,0.1115
Std,0.0296,0.0527,0.0296,0.1412,0.0388,0.0766,0.1439
