Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.65,0.4437,0.65,0.4225,0.5121,0.0,0.0
1,0.65,0.3723,0.65,0.4225,0.5121,0.0,0.0
2,0.65,0.2624,0.65,0.4225,0.5121,0.0,0.0
3,0.65,0.478,0.65,0.4225,0.5121,0.0,0.0
4,0.6667,0.4201,0.6667,0.4444,0.5333,0.0,0.0
5,0.6667,0.4408,0.6667,0.4444,0.5333,0.0,0.0
6,0.6667,0.4201,0.6667,0.4444,0.5333,0.0,0.0
7,0.6667,0.4586,0.6667,0.4444,0.5333,0.0,0.0
8,0.6667,0.4334,0.6667,0.4444,0.5333,0.0,0.0
9,0.641,0.3129,0.641,0.4109,0.5008,0.0,0.0
Mean,0.6574,0.4042,0.6574,0.4323,0.5216,0.0,0.0
Std,0.0096,0.0649,0.0096,0.0126,0.0122,0.0,0.0
