Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.35,0.5,0.35,0.1225,0.1815,0.0,0.0
1,0.525,0.4533,0.525,0.4989,0.5095,-0.0983,-0.0998
2,0.65,0.5659,0.65,0.6219,0.6204,0.1463,0.1572
3,0.575,0.6071,0.575,0.6492,0.5822,0.1866,0.2068
4,0.4872,0.5686,0.4872,0.6422,0.4598,0.1096,0.1561
5,0.5128,0.4423,0.5128,0.5031,0.5077,-0.1176,-0.1179
6,0.6667,0.5192,0.6667,0.6171,0.5735,0.0488,0.0822
7,0.5641,0.4615,0.5641,0.5134,0.5313,-0.0851,-0.0898
8,0.359,0.5192,0.359,0.7807,0.2193,0.026,0.1147
9,0.6667,0.5,0.6667,0.4444,0.5333,0.0,0.0
Mean,0.5356,0.5137,0.5356,0.5393,0.4718,0.0216,0.041
Std,0.1088,0.0514,0.1088,0.1674,0.1424,0.0987,0.1126
