Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.625,0.6332,0.625,0.4167,0.5,-0.049,-0.1175
1,0.65,0.4409,0.65,0.6026,0.5516,0.0411,0.0721
2,0.65,0.3832,0.65,0.4225,0.5121,0.0,0.0
3,0.65,0.3901,0.65,0.6026,0.5516,0.0411,0.0721
4,0.6667,0.3787,0.6667,0.4444,0.5333,0.0,0.0
5,0.6667,0.5473,0.6667,0.4444,0.5333,0.0,0.0
6,0.6667,0.5355,0.6667,0.6171,0.5735,0.0488,0.0822
7,0.641,0.4586,0.641,0.4386,0.5208,-0.05,-0.1147
8,0.641,0.5814,0.641,0.5556,0.5578,0.0,0.0
9,0.641,0.5729,0.641,0.4109,0.5008,0.0,0.0
Mean,0.6498,0.4922,0.6498,0.4956,0.5335,0.0032,-0.0006
Std,0.013,0.0884,0.013,0.0828,0.0238,0.0325,0.0664
