Fold,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0,0.725,0.6154,0.725,0.7443,0.6802,0.2903,0.3566
1,0.65,0.6662,0.65,0.6026,0.5516,0.0411,0.0721
2,0.625,0.5907,0.625,0.5383,0.5364,-0.0067,-0.0099
3,0.625,0.6621,0.625,0.5383,0.5364,-0.0067,-0.0099
4,0.6667,0.4071,0.6667,0.7807,0.5566,0.0898,0.2168
5,0.641,0.5621,0.641,0.4386,0.5208,-0.05,-0.1147
6,0.6154,0.6583,0.6154,0.4324,0.5079,-0.0976,-0.1644
7,0.7436,0.5769,0.7436,0.7569,0.7037,0.3182,0.3796
8,0.6667,0.4793,0.6667,0.6171,0.5735,0.0488,0.0822
9,0.641,0.5385,0.641,0.5556,0.5578,0.0,0.0
Mean,0.6599,0.5757,0.6599,0.6005,0.5725,0.0627,0.0808
Std,0.0407,0.0797,0.0407,0.1192,0.0626,0.1305,0.1747
