Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez,Nacimientos
23/8/2023,16/8/2023,10/8/2023,E9-Emiratos K367,FB-E,6,100,1,2,48,Extranjero,55.2,Sin observaciones,37.74,F12,5,D7,II,No,778.3,807.5,Con ZP,Fresco,205,5,Exitosa,EXITOSO
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,II,No,751.2,765,Con ZP,Fresco,428 LV,4,Exitosa,EXITOSO
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,II,No,722,724.3,Con ZP,Fresco,625,4,Exitosa,EXITOSO
24/8/2023,16/8/2023,10/8/2023,E9-Emiratos K367,FB-E,6,100,1,2,48,Extranjero,55.2,Sin observaciones,37.74,F12,5,D8,II,Sí,730.7,737.9,Con ZP,Fresco,702,5,Exitosa,EXITOSO
13/9/2023,6/9/2023,30/8/2023,WILSON K359,MSC-E,7,100,0,1,120,Local,53.94,Sin observaciones,41.84,F12,6,D7,II,No,804.5,890.3,Con ZP,Fresco,29,5,Exitosa,EXITOSO
19/9/2023,12/9/2023,6/9/2023,L.D. TORO K001,MSC-E,6,100,0,1,96,Local,53.91,Feos,46.46,F12,6,D7,II,No,799.6,802.4,Con ZP,Fresco,398,4,Exitosa,EXITOSO
20/9/2023,13/9/2023,6/9/2023,L.D. TORO K001,MSC-E,7,50,0,3,0,Local,40.84,Feos,40.26,Global,5,D7,II,No,809.9,815.7,Con ZP,Fresco,R97,5,Exitosa,EXITOSO
21/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D7,II,No,737.2,830.3,Con ZP,Fresco,545,4,Exitosa,EXITOSO
22/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D8,III,No,632.1,752,Con ZP,Fresco,567,5,Exitosa,EXITOSO
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,II,No,799.3,810.7,Con ZP,Fresco,320,4,Exitosa,EXITOSO
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,III,Sí,543.8,582.5,Con ZP,Fresco,209,4,Exitosa,EXITOSO
4/10/2023,27/9/2023,20/9/2023,Urraca K347,FB-E,7,100,0,3,24,Extranjero,62.7,Sin observaciones,32.11,F12,5,D7,II,No,675.8,700.7,Con ZP,Fresco,371,5,Exitosa,EXITOSO
5/10/2023,28/9/2023,21/9/2023,Open Suma K291,MSC-E,7,100,0,1,72,Local,63.37,Sin observaciones,37.38,F12,5,D7,III,Sí,576.3,620.8,Con ZP,Fresco,614,5,Exitosa,EXITOSO
