Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez
23/8/2023,16/8/2023,10/8/2023,E9-Emiratos K367,FB-E,6,100,1,2,48,Extranjero,55.2,Sin observaciones,37.74,F12,5,D7,I,No,859.5,863.7,Con ZP,Fresco,086 LV,5,Sin éxito
23/8/2023,16/8/2023,10/8/2023,E9-Emiratos K367,FB-E,6,100,1,2,48,Extranjero,55.2,Sin observaciones,37.74,F12,5,D7,II,No,778.3,807.5,Con ZP,Fresco,205,5,Exitosa
23/8/2023,16/8/2023,10/8/2023,E9-Emiratos K367,FB-E,6,100,1,2,48,Extranjero,55.2,Sin observaciones,37.74,F12,5,D7,III,Sí,795.6,847.7,Con ZP,Fresco,002 LV,5,Sin éxito
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,II,No,751.2,765,Con ZP,Fresco,428 LV,4,Exitosa
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,II,No,756,770.1,Con ZP,Fresco,613,4,Sin éxito
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,III,Sí,684,722,Con ZP,Fresco,630,4,Sin éxito
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,II,No,722,724.3,Con ZP,Fresco,625,4,Exitosa
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,II,Sí,600.8,659.3,Con ZP,Fresco,529,4,Sin éxito
24/8/2023,16/8/2023,10/8/2023,E9-Emiratos K367,FB-E,6,100,1,2,48,Extranjero,55.2,Sin observaciones,37.74,F12,5,D8,II,Sí,730.7,737.9,Con ZP,Fresco,702,5,Exitosa
25/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D8,III,Sí,483.8,569.5,Con ZP,Fresco,273,5,Sin éxito
25/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D8,III,Sí,528.5,531.6,Con ZP,Fresco,484,5,Sin éxito
30/8/2023,23/8/2023,17/8/2023,Wonder Mask K400,MSC-E,6,100,0,1,96,Local,54.9,Sin observaciones,51.43,Global,5,D7,III,No,555.4,623.3,Con ZP,Fresco,R97,5,Sin éxito
30/8/2023,23/8/2023,17/8/2023,Wonder Mask K400,MSC-E,6,100,0,1,96,Local,54.9,Sin observaciones,51.43,Global,5,D7,III,Sí,718,724.3,Con ZP,Fresco,286,5,Sin éxito
31/8/2023,24/8/2023,16/8/2023,A2 EMIRATOS K338,MSC-E,8,85,0,2,72,Extranjero,57.74,Sin observaciones,28.57,F12,5,D7,III,No,564.8,589.7,Con ZP,Fresco,723,5,Sin éxito
31/8/2023,24/8/2023,16/8/2023,A2 EMIRATOS K338,MSC-E,8,85,0,2,72,Extranjero,57.74,Sin observaciones,28.57,F12,5,D7,II,No,778.2,838.7,Con ZP,Fresco,515,4,Sin éxito
